"Date","Location","Team","GF","GA","GF%","GA%","Sh%","Sv%","PP%","PK%","PenaltyTime","Final","Score"
"07.09.2018","Home","LON","247","161","5,15","3,35","36,85","29,08","26,17","82,06","607","Loss","2"
"07.09.2018","Away","TER","223","144","4,65","3","40,69","32,31","32,44","84,1","671","Win","6"
"07.09.2018","Home","MTE","202","211","4,21","4,4","30,75","34,35","16,16","78,21","694","Win","5"
"07.09.2018","Away","CHA","200","207","4,17","4,31","34,15","33,9","16,75","76,35","879","Loss","4"
"07.09.2018","Home","MTN","135","278","2,81","5,79","27,31","47,79","16,39","74,9","810","Loss","3"
"07.09.2018","Away","STJ","207","151","4,31","3,15","33,31","27,06","25,29","82,87","899","Win","5"
"07.09.2018","Home","GRA","234","136","4,88","2,83","41,5","31,29","23,61","83,41","846","Loss","0"
"07.09.2018","Away","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Win","1"
"07.09.2018","Home","GAT","162","236","3,38","4,92","31,4","39,08","13,99","71,84","1164","Loss","2"
"07.09.2018","Away","PRI","263","179","5,48","3,73","45,92","36,94","29,06","83,33","840","Win","8"
"07.09.2018","Home","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Win","7"
"07.09.2018","Away","VAL","172","185","3,58","3,85","33,73","34,6","19,84","80,43","1244","Loss","6"
"09.09.2018","Home","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Loss","1"
"09.09.2018","Away","VAL","172","185","3,58","3,85","33,73","34,6","19,84","80,43","1244","Win","2"
"09.09.2018","Home","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Loss","4"
"09.09.2018","Away","PRI","263","179","5,48","3,73","45,92","36,94","29,06","83,33","840","Win","7"
"09.09.2018","Home","TER","223","144","4,65","3","40,69","32,31","32,44","84,1","671","Win","1"
"09.09.2018","Away","GRA","234","136","4,88","2,83","41,5","31,29","23,61","83,41","846","Loss","0"
"09.09.2018","Home","STJ","207","151","4,31","3,15","33,31","27,06","25,29","82,87","899","Loss","2"
"09.09.2018","Away","LON","247","161","5,15","3,35","36,85","29,08","26,17","82,06","607","Win","5"
"09.09.2018","Home","CHA","200","207","4,17","4,31","34,15","33,9","16,75","76,35","879","Win","6"
"09.09.2018","Away","GAT","162","236","3,38","4,92","31,4","39,08","13,99","71,84","1164","Loss","5"
"09.09.2018","Home","MTE","202","211","4,21","4,4","30,75","34,35","16,16","78,21","694","Loss","3"
"09.09.2018","Away","CDS","189","198","3,94","4,13","34,27","34,27","21,24","79,65","956","Win","5"
"10.09.2018","Home","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Loss","3"
"10.09.2018","Away","MTE","202","211","4,21","4,4","30,75","34,35","16,16","78,21","694","Win","10"
"12.09.2018","Home","STJ","207","151","4,31","3,15","33,31","27,06","25,29","82,87","899","Loss","1"
"12.09.2018","Away","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Win","3"
"13.09.2018","Home","VAL","172","185","3,58","3,85","33,73","34,6","19,84","80,43","1244","Win","4"
"13.09.2018","Away","MTN","135","278","2,81","5,79","27,31","47,79","16,39","74,9","810","Loss","2"
"14.09.2018","Home","CDS","189","198","3,94","4,13","34,27","34,27","21,24","79,65","956","Win","6"
"14.09.2018","Away","MTN","135","278","2,81","5,79","27,31","47,79","16,39","74,9","810","Loss","1"
"14.09.2018","Home","LON","247","161","5,15","3,35","36,85","29,08","26,17","82,06","607","Loss","3"
"14.09.2018","Away","MTE","202","211","4,21","4,4","30,75","34,35","16,16","78,21","694","Win","6"
"14.09.2018","Home","TER","223","144","4,65","3","40,69","32,31","32,44","84,1","671","Win","8"
"14.09.2018","Away","STJ","207","151","4,31","3,15","33,31","27,06","25,29","82,87","899","Loss","6"
"14.09.2018","Home","GRA","234","136","4,88","2,83","41,5","31,29","23,61","83,41","846","Win","6"
"14.09.2018","Away","CHA","200","207","4,17","4,31","34,15","33,9","16,75","76,35","879","Loss","3"
"14.09.2018","Home","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Loss","5"
"14.09.2018","Away","PRI","263","179","5,48","3,73","45,92","36,94","29,06","83,33","840","Win","10"
"14.09.2018","Home","GAT","162","236","3,38","4,92","31,4","39,08","13,99","71,84","1164","Win","4"
"14.09.2018","Away","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Loss","2"
"15.09.2018","Home","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Loss","1"
"15.09.2018","Away","TER","223","144","4,65","3","40,69","32,31","32,44","84,1","671","Win","3"
"16.09.2018","Home","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Loss","2"
"16.09.2018","Away","GRA","234","136","4,88","2,83","41,5","31,29","23,61","83,41","846","Win","8"
"16.09.2018","Home","PRI","263","179","5,48","3,73","45,92","36,94","29,06","83,33","840","Win","7"
"16.09.2018","Away","STJ","207","151","4,31","3,15","33,31","27,06","25,29","82,87","899","Loss","4"
"16.09.2018","Home","MTN","135","278","2,81","5,79","27,31","47,79","16,39","74,9","810","Loss","1"
"16.09.2018","Away","GAT","162","236","3,38","4,92","31,4","39,08","13,99","71,84","1164","Win","3"
"16.09.2018","Home","VAL","172","185","3,58","3,85","33,73","34,6","19,84","80,43","1244","Loss","3"
"16.09.2018","Away","CDS","189","198","3,94","4,13","34,27","34,27","21,24","79,65","956","Win","4"
"19.09.2018","Home","STJ","207","151","4,31","3,15","33,31","27,06","25,29","82,87","899","Loss","3"
"19.09.2018","Away","TER","223","144","4,65","3","40,69","32,31","32,44","84,1","671","Win","5"
"20.09.2018","Home","VAL","172","185","3,58","3,85","33,73","34,6","19,84","80,43","1244","Loss","3"
"20.09.2018","Away","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Win","7"
"21.09.2018","Home","CDS","189","198","3,94","4,13","34,27","34,27","21,24","79,65","956","Loss","3"
"21.09.2018","Away","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Win","5"
"21.09.2018","Home","LON","247","161","5,15","3,35","36,85","29,08","26,17","82,06","607","Win","4"
"21.09.2018","Away","STJ","207","151","4,31","3,15","33,31","27,06","25,29","82,87","899","Loss","3"
"21.09.2018","Home","MTE","202","211","4,21","4,4","30,75","34,35","16,16","78,21","694","Loss","6"
"21.09.2018","Away","PRI","263","179","5,48","3,73","45,92","36,94","29,06","83,33","840","Win","7"
"21.09.2018","Home","TER","223","144","4,65","3","40,69","32,31","32,44","84,1","671","Win","3"
"21.09.2018","Away","VAL","172","185","3,58","3,85","33,73","34,6","19,84","80,43","1244","Loss","2"
"21.09.2018","Home","GRA","234","136","4,88","2,83","41,5","31,29","23,61","83,41","846","Win","7"
"21.09.2018","Away","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Loss","1"
"21.09.2018","Home","GAT","162","236","3,38","4,92","31,4","39,08","13,99","71,84","1164","Loss","1"
"21.09.2018","Away","MTN","135","278","2,81","5,79","27,31","47,79","16,39","74,9","810","Win","4"
"22.09.2018","Home","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Loss","0"
"22.09.2018","Away","CHA","200","207","4,17","4,31","34,15","33,9","16,75","76,35","879","Win","3"
"23.09.2018","Home","LSL","136","207","2,83","4,31","30,31","36,21","16,29","73,55","817","Loss","4"
"23.09.2018","Away","STG","193","260","4,02","5,42","29,9","33,19","24,5","74,86","690","Win","8"
"23.09.2018","Home","GAT","162","236","3,38","4,92","31,4","39,08","13,99","71,84","1164","Loss","5"
"23.09.2018","Away","MTE","202","211","4,21","4,4","30,75","34,35","16,16","78,21","694","Win","6"
"23.09.2018","Home","PRI","263","179","5,48","3,73","45,92","36,94","29,06","83,33","840","Win","5"
"23.09.2018","Away","CDS","189","198","3,94","4,13","34,27","34,27","21,24","79,65","956","Loss","3"
"23.09.2018","Home","CHA","200","207","4,17","4,31","34,15","33,9","16,75","76,35","879","Win","3"
"23.09.2018","Away","MTN","135","278","2,81","5,79","27,31","47,79","16,39","74,9","810","Loss","1"
"23.09.2018","Home","LON","247","161","5,15","3,35","36,85","29,08","26,17","82,06","607","Win","1"
